post_id,verdict,veracity,veracity_group,ai_generated,boost_count,author_id,author_followers,author_out_degree,ic_spread_1step
105,vero,0,vero,True,0,16,221,40,4.6571
152,vero,0,vero,True,0,16,221,40,4.6571
25,perlopiù vero,1,vero,False,0,1,2419,70,11.8515
18,vero,0,vero,True,0,1,2419,70,11.8515
111,vero,0,vero,True,0,16,221,40,4.6571
47,vero,0,vero,True,0,1,2419,70,11.8515
127,vero,0,vero,True,0,16,221,40,4.6571
110,vero,0,vero,True,0,16,221,40,4.6571
80113,vero,0,vero,True,0,80057,2419,70,11.8515
208,misto,2,misto,True,0,187,23,8,0.6328
668,vero,0,vero,True,0,376,2419,70,11.8515
239,vero,0,vero,True,0,187,23,8,0.6328
559,vero,0,vero,True,0,376,2419,70,11.8515
253520,misto,2,misto,True,8,213928,8435,437,43.8333
271,vero,0,vero,True,0,253,14757,337,21.6166
2661,misto,2,misto,True,0,2288,169,47,4.1713
507,vero,0,vero,True,0,458,588,73,11.3301
220,perlopiù vero,1,vero,True,0,212,19,1,0.05
637,vero,0,vero,True,0,376,2419,70,11.8515
630,vero,0,vero,True,4,630,13405,267,19.1777
908,vero,0,vero,True,2,879,78,3,0.5798
714,vero,0,vero,True,0,376,2419,70,11.8515
853,vero,0,vero,True,1,853,15,3,0.3376
720,vero,0,vero,True,0,376,2419,70,11.8515
1012,vero,0,vero,True,1,550,21,20,3.8628
805,vero,0,vero,True,1,764,56,19,3.0975
53357,vero,0,vero,True,1,53274,151,7,0.6989
1218,vero,0,vero,True,0,546,166,8,0.4508
1217,vero,0,vero,True,0,546,166,8,0.4508
181935,vero,0,vero,True,0,179514,588,73,11.3301
1302,vero,0,vero,True,0,376,2419,70,11.8515
1058,vero,0,vero,True,0,888,468,21,2.0097
1030,vero,0,vero,True,2,575,318,21,3.6844
1430,vero,0,vero,True,7,979,10382,1317,195.9112
2676,misto,2,misto,True,1,998,2305,53,2.6896
1328,vero,0,vero,True,0,546,166,8,0.4508
1483,vero,0,vero,True,1,1481,886,126,14.8105
1611,vero,0,vero,True,0,376,2419,70,11.8515
1538,vero,0,vero,True,0,376,2419,70,11.8515
1529,vero,0,vero,True,0,546,166,8,0.4508
1556,vero,0,vero,True,0,376,2419,70,11.8515
1527,misto,2,misto,True,1,1417,569,99,6.4931
1710,vero,0,vero,True,0,376,2419,70,11.8515
1715,vero,0,vero,True,0,376,2419,70,11.8515
1792,vero,0,vero,True,0,376,2419,70,11.8515
179993,vero,0,vero,True,0,179993,6712,308,21.9321
1885,vero,0,vero,True,2,1337,186,67,11.21
2101,vero,0,vero,True,0,386,154,23,5.9783
1972,vero,0,vero,True,0,808,1403,190,20.3184
2125,vero,0,vero,True,0,1337,186,67,11.21
2152,vero,0,vero,True,0,1337,186,67,11.21
2215,vero,0,vero,True,0,419,139,31,7.9746
2206,vero,0,vero,True,0,419,139,31,7.9746
2298,misto,2,misto,True,1,979,10382,1317,195.9112
2211,vero,0,vero,True,0,419,139,31,7.9746
2274,misto,2,misto,True,1,1232,229,243,10.7771
2323,vero,0,vero,False,0,376,2419,70,11.8515
2353,vero,0,vero,True,0,376,2419,70,11.8515
2289,vero,0,vero,True,2,782,3243,312,31.0081
2290,misto,2,misto,True,3,979,10382,1317,195.9112
2385,misto,2,misto,True,1,943,1237,50,3.5327
2405,vero,0,vero,True,0,376,2419,70,11.8515
2507,vero,0,vero,True,4,2484,67,61,19.3021
2413,vero,0,vero,True,0,376,2419,70,11.8515
246857,vero,0,vero,True,0,263260,1400,72,11.2141
2529,vero,0,vero,True,3,1121,184496,1164,87.0073
2530,vero,0,vero,True,0,376,2419,70,11.8515
2381,misto,2,misto,True,0,2381,9,0,0.0
2735,falso,4,falso,True,4,2735,155,6,0.4492
2730,vero,0,vero,True,0,2730,363,5,0.5212
2835,vero,0,vero,True,0,2828,1615,1,0.05
2936,vero,0,vero,True,1,2936,13405,267,19.1777
2846,vero,0,vero,True,0,1816,2105,66,4.2049
64501,vero,0,vero,True,1,61419,10746,110,6.9947
2956,misto,2,misto,True,0,2898,892,196,21.3966
3211,misto,2,misto,True,0,2968,10382,1317,195.9112
3121,misto,2,misto,True,0,3082,93,1,0.05
3031,misto,2,misto,True,0,2968,10382,1317,195.9112
3185,vero,0,vero,True,0,2968,10382,1317,195.9112
3149,vero,0,vero,True,1,2968,10382,1317,195.9112
19623,misto,2,misto,True,1,19620,10382,1317,195.9112
3356,misto,2,misto,True,0,3356,33,1,0.0353
3284,misto,2,misto,True,0,3109,551,25,5.098
3274,falso,4,falso,True,1,3274,846,14,1.0218
261585,misto,2,misto,True,0,292603,178,16,1.7733
3207,vero,0,vero,True,1,2996,252,16,1.429
4379,vero,0,vero,True,0,4315,11971,407,36.2606
4332,vero,0,vero,True,0,4315,11971,407,36.2606
3634,misto,2,misto,True,0,2930,229,243,10.7771
210075,vero,0,vero,True,1,209789,10382,1317,195.9112
4336,vero,0,vero,True,0,4315,11971,407,36.2606
3637,vero,0,vero,True,1,2968,10382,1317,195.9112
22703,vero,0,vero,True,1,22494,93,75,7.6056
3975,vero,0,vero,True,0,3966,11,5,0.345
5150,vero,0,vero,True,0,5145,489,14,2.6789
4503,vero,0,vero,True,0,4315,11971,407,36.2606
65390,vero,0,vero,True,0,65323,0,0,0.0
41082,falso,4,falso,True,0,40957,68,4,1.5453
4378,vero,0,vero,True,0,4315,11971,407,36.2606
904998,vero,0,vero,True,0,90052,2763,166,18.6538
41262,vero,0,vero,True,0,40531,534,22,4.3965
76828,vero,0,vero,True,0,76155,2701,263,33.2529
4479,vero,0,vero,True,0,4315,11971,407,36.2606
4449,vero,0,vero,True,0,4412,7933,423,27.1128
4923,vero,0,vero,True,0,4923,347,12,1.2937
4552,misto,2,misto,True,0,4424,7317,248,30.0382
4720,vero,0,vero,True,0,4635,1223,185,18.3608
4683,vero,0,vero,True,0,4683,2305,53,2.6896
184071,vero,0,vero,True,0,184071,642,42,3.6905
4957,vero,0,vero,True,0,4679,7933,423,27.1128
4979,vero,0,vero,True,0,4700,184496,1164,87.0073
4970,vero,0,vero,True,1,4700,184496,1164,87.0073
5027,vero,0,vero,True,0,4630,6240,218,22.2069
5100,vero,0,vero,True,0,4630,6240,218,22.2069
188863,misto,2,misto,True,0,177595,2256,384,38.7242
5189,vero,0,vero,True,0,4695,445,85,8.4919
5139,vero,0,vero,True,0,5097,534,22,4.3965
5231,vero,0,vero,True,0,4967,2385,257,31.2694
5247,vero,0,vero,True,0,4646,10382,1317,195.9112
245463,misto,2,misto,True,0,24188,76161,1280,58.9603
5084,misto,2,misto,True,1,5084,3243,312,31.0081
5137,vero,0,vero,True,0,5097,534,22,4.3965
60061,falso,4,falso,True,0,60061,30,0,0.0
5299,perlopiù vero,1,vero,True,0,5299,2763,166,18.6538
5210,vero,0,vero,True,0,5209,520,15,0.7391
5304,vero,0,vero,True,0,4646,10382,1317,195.9112
5628,vero,0,vero,True,0,5352,184496,1164,87.0073
5691,falso,4,falso,True,0,5691,503,38,3.2323
5341,falso,4,falso,True,0,5341,4,0,0.0
5543,misto,2,misto,True,0,5348,291,7,0.378
5723,misto,2,misto,True,0,5468,2134,27,1.3886
5792,vero,0,vero,True,0,5367,10382,1317,195.9112
275329,vero,0,vero,True,0,2968,10382,1317,195.9112
5913,vero,0,vero,True,1,5367,10382,1317,195.9112
5841,perlopiù vero,1,vero,True,0,5841,2203,43,4.2222
6010,vero,0,vero,True,0,5766,1945,74,7.1703
5883,vero,0,vero,True,0,5532,6870,1963,210.098
6073,vero,0,vero,True,0,5777,2299,180,14.0947
6088,vero,0,vero,True,0,5367,10382,1317,195.9112
6181,vero,0,vero,True,0,6181,846,40,3.7599
